Tên cơ sở,Địa chỉ,Số phòng,Điện thoại,Cơ quan nhà nước quản lý,Email,Website,Giá,Fax
Khách sạn ST- K.Boss,"80- đường huyền quang - ninh xá - thành phố bắc ninh, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,090 328 85 86,Có,,,,
Khách sạn Khánh Vi Vân,"38 Trần Phú, Phường 4, Thành phố Đà Lạt, Lâm Đồng",,0263 3755 760,Có,,,400.000 - 800.000,
Khách sạn Phú Gia,"Lý Thường Kiệt, Phường Thị Cầu, Thành phố Bắc Ninh, Bắc Ninh",,0222 3818 689,Có,dulichbacninh68@gmail.com,,,
Khách sạn Khánh Thịnh,"Lô H79  Nguyễn Thị Nghĩa, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,097 385 43 29,Có,,,300.000 - 800.000,
Khách sạn Sejong,"36 Đường Kinh Bắc 1, Khu Vũ Ninh, Phường Kinh Bắc, Thành phố Bắc Ninh, Bắc Ninh",,0222 3858 812,Có,sejonghotel.kr@gmail.com,,,
Khách sạn Khánh Huy,"190 Phan Đình Phùng, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3829 168,Có,,,,
Khách sạn Ruby,"19 Đường Lý Đạo Thành, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,096 589 82 66,Có,,,,
Khách sạn Hải Yến,"Đường Trương Pháp, Xã Quang Phú, Thành Phố Đồng Hới, Quảng Bình",20,0232 3810 011,Có,haiyenhotel.restaurant@gmail.com,,,
Khách sạn Khánh Hồng,"33 Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng",13,0263 3510 015,Có,,,150.000 - 300.000,
Khách sạn Mimoza,"5D Đường Ngô Miễn Thiệu, Phường Tiền An, Thành phố Bắc Ninh, Bắc Ninh",,0222 3822 068,Có,,,,
Khách sạn Ngọc Huyền 2,"567-569 Hùng Vương, Xã Bình Kiến, Thành phố Tuy Hoà, Phú Yên",,0257 3666 555,Có,buitanhao@gmail.com,,,
Khách sạn Khải Hoàng,"109 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3823 491,Có,,,250.000 - 350.000,
Khách sạn Hello,"Tòa nhà CC03-B6, Đường Lý Thái Tổ, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,098 963 68 85,Có,,,,
Khách sạn Center Bắc Ninh,"Kinh Dương Vương, Phường Vũ Ninh, Thành phố Bắc Ninh, Bắc Ninh",,090 320 13 06,Có,res@centerhotelbacninh.com,,,
Khách sạn Hữu Nghị 2,"63B  đường 3 tháng 2, Phường 1, Thành phố Đà Lạt, Lâm Đồng",49,0263 3820 567,Có,huunghi3@yahoo.com,,250.000 - 500.000,0263 3834 117
Khách sạn Bắc Ninh 2,"37 Lý Thái Tổ, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",,0222 3828 198,Có,kvtotal.bn@gmail.com,,,
Khách sạn Hữu Nghị 1,"73 đường Ba Tháng Hai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",,0263 3822 706,Có,,,,
Khách sạn Gia Bảo,"R17-20 Lý Thánh Tông, Phường Đồng Nguyên, Thị xã Từ Sơn, Bắc Ninh",,0222 3745 888,Có,,,,
Khách sạn Hoa Vàng,"40 Nguyễn Hào Sự, Xã Bình Kiến, Thành phố Tuy Hoà, Phú Yên",,0257 3838 558,Có,,,,
Khách sạn Hương Thùy,"51E Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3827 812,Có,congthiendalat@yahoo.com.vn,,200.000 - 400.000,
Khách sạn Vân An 2,"1 Lê Hồng Phong, Phường 7, Thành phố Tuy Hoà, Phú Yên",,0257 6262 777,Có,vanan2hotel@gmail.com.,,,
Khách sạn Hương Giang,"7A Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",45,0263 3828 296,Có,,,150.000 - 450.000,
Khách sạn Duy Phương,"54 Bà Triệu, Phường 3, Thành phố Đà Lạt, Lâm Đồng",17,0263 3531 576,Có,duyphuonghoteldl@gmail.com,https://www.duyphuonghotel.com/vi-vn,300.000,
Khách sạn Hưng Thịnh,"6 Lê Thị Hồng Gấm, Phường 1, Thành phố Đà Lạt, Lâm Đồng",10,0263 3824 452,Có,,,200.000 - 500.000,
Khách sạn Miền Trung,"L09-18G8 Hùng Vương, Phường 7, Thành phố Tuy Hoà, Phú Yên",,0257 3666 679,Có,mientrunghotel@gmail.com,http://mientrunghotel.com,,
Khách sạn Hoàng Vy,"250 Hùng Vương, Phường 7, Thành phố Tuy Hoà, Phú Yên",,0257 3793 109,Có,hoangvyhotel@gmail.com,,,
Khách Sạn Violet,"Bãi biển thôn Long Thủy, xã An Phú, TP.Tuy Hòa, tỉnh Phú Yên, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",,0257 3793 477,Có,buiduylam2005@gmail.com,,,
Khách sạn Smart,"2 Tô Vĩnh Diện, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,0222 3812 182,Có,thoaphuson@yahoo.com,,,
Khách sạn Victory,"19 Lý Đạo Thành, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",,0222 3812 356,Có,victoryhotelbn@gmail.com,,,
Khách sạn Trung Hào,"Long Thủy, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",,0257 3793 216,Có,,,,
Khách sạn Phương Đông,"Km 8  Chính Nghĩa, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",,0257 3789 789,Có,khachsanphuongdong@gmail.com,,,
Khách sạn International,"Quốc lộ 1 A, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",,0222 3692 255,Có,Koreahotel2014@gmail.com,,,
Khách sạn Suối Hoa,"213 Ngô Gia Tự, Phường Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh",,0222 3821 089,Có,khachsansuoihoa@gmail.com,,,
Khách sạn Huyền Trâm,"Chính Nghĩa, Xã An Phú, Thành phố Tuy Hoà, Phú Yên",,0257 3793 160,Có,cuonghvnvn@gmail.com,,,
Khách sạn Hoàng Tử,"Ba Huyện, Phường Khắc Niệm, Thành phố Bắc Ninh, Bắc Ninh",,0222 3737 919,Có,letan@prinhotel.vn,,,0222 3737 929
Khách sạn Khánh Hòa,"625-627 Hùng Vương, Xã Bình Kiến, Thành phố Tuy Hoà, Phú Yên",,0257 3848 589,Có,,,,
Khách sạn Bắc Ninh 1,"34 Lý Thái Tổ, Phường Ninh Xá, Thành phố Bắc Ninh, Bắc Ninh",62,0222 6261 801,Có,kvtotal.bn@gmail.com,,600.000 - 2.500.000,
Khách sạn Thuỷ Tiên,"A66 Hưng Phú, Phường 5, Thành phố Tuy Hoà, Phú Yên",,0257 3893 991,Có,thuytienhotelphuyen@gmail.com,,,
Khách sạn Glory Bắc Ninh,"1 Đường Nguyễn Đăng Đạo, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",42,0222 3823 004,Có,gloryhotel@gmail.com,,700.000 - 900.000,
Khách sạn Ngọc Huyền,"509 – 511 Hùng Vương, Xã Bình Kiến, Thành phố Tuy Hoà, Phú Yên",,0257 3848 866,Có,buitanhao@gmail.com,,,
Khách sạn Hương Xuân,"79 Lý Thường Kiệt, Phường Hải Thành, Thành Phố Đồng Hới, Quảng Bình",16,0232 3824 426,Có,huongxuanhotel.qb@gmail.com,,,
Khách sạn Hồng Hải,"351 Lê Duẩn, Phường 7, Thành phố Tuy Hoà, Phú Yên",,0257 3842 757,Có,,,,
Khách sạn Nhiệt Đới,"216 Nguyễn Huệ, Phường 7, TP. Tuy Hòa, Phú Yên, Phường 7, Thành phố Tuy Hoà, Phú Yên",,0257 3822 424,Có,nhietdoihotelpy@gmail.com,,,
Khách sạn Nga Việt Bắc Ninh,"Số 02 đường Bình than, phường Đại Phúc, TP.BẮC NINH, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",42,0222 3605 856,Có,ngaviethotel@gmail.com,www.ngaviethotel.com,500.000 - 800.000,
Khach sạn Hạ Đông,"6 Quang Trung, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",10,0232 3851 058,Có,,,,
Khách sạn Hoàng Nhật Anh,"28 Quang Trung, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",14,0232 3829 509,Có,,,,
Khách sạn Hồng Nhân,"239 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3820 999,Có,hongnhanhotel@gmail.com,,400.000 - 600.000,
Khách sạn Dream,"73 Nguyễn Thị Định, Xã Bảo Ninh, Thành Phố Đồng Hới, Quảng Bình",12,0232 3886 666,Có,,,,
Khách sạn Hồng Lộc,"40 Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng",14,0263 3821 708,Có,,,200.000 - 400.000,
Khách sạn Hồng Châu,"128 Phan Đình Phùng, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,"0263 3822 594, 090 305 42 72",Có,kshongchau128@gmail.com,,,
Khách sạn Hoàng Việt 1,"22A Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng",18,0263 3822 406,Có,,,150.000 - 500.000,
Khách sạn Hoàng Thiên,"Lô 18 KQH Trần Lê, Phường 4, Thành phố Đà Lạt, Lâm Đồng",10,"0263 3547 779, 090 544 67 76",Có,hoangthienhotel@gmail.com,http://hoangthienhotel.com/,,
Khách sạn Hoàng Thắng,"3 Mai Hắc Đế, Phường 6, Thành phố Đà Lạt, Lâm Đồng",25,0263 3828 367,Có,,,350.000 - 800.000,
Khách sạn Hoàng Thảo,"80 Nguyễn Chí Thanh, Phường 1, Thành phố Đà Lạt, Lâm Đồng",,0263 3510 131,Có,,,300.000 - 600.000,
Khách sạn Hoàng Sơn,"51 Nam Kỳ Khởi Nghĩa, Phường 1, Thành phố Đà Lạt, Lâm Đồng",21,,Có,,,150.000 - 300.000,
Khách sạn Quang Trung,"12A Quang Trung, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",12,0232 3816 311,Có,thuyqb@gmail.com,,,
Khách sạn Hoàng Nguyên,"5 Nguyễn Công Trứ, Phường 8, Thành phố Đà Lạt, Lâm Đồng",,098 541 01 68,Có,hoangnguyeny@gmail.com,,250.000 - 800.000,
Khách sạn Hoàng Phong,"Lô 08, Khu Quy Hoạch, Trần Lê, Phường 4, Thành phố Đà Lạt, Lâm Đồng",,093 773 54 59,Có,,,300.000 - 550.000,
Khách sạn Hoàng Khôi,"10 đường Ba Tháng Hai, Phường 1, Thành phố Đà Lạt, Lâm Đồng",14,0263 3822 765,Có,,,300.000 - 550.000,
Khách sạn Hoàng Hậu,"8A Hồ Tùng Mậu, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,0263 3821 431,Có,,,,
Khách sạn Hòa Bình Xanh,"19 Mai Hắc Đế, Phường 6, Thành phố Đà Lạt, Lâm Đồng",,0263 3546 886,Có,,,,
Khách sạn Vĩnh Thuận,"227 Nguyễn Tất Thành, Phường 8, Thành phố Tuy Hoà, Phú Yên",,0257 3825 361,Có,vinhthuan1961@gmail.com,,,
Khách sạn Duy,"6 Lê Văn Tám, Phường 10, Thành phố Đà Lạt, Lâm Đồng",,"0263 0968 986 422, 096 898 64 22",Có,,,,
Khách sạn Bích Khuê 1,"72 Bùi Thị Xuân,, Phường 8, Thành phố Đà Lạt, Lâm Đồng",,0263 3821 475,Có,ksbichkhue281@gmail.com,,,
Khách sạn Huyền Trang,"13 Nguyễn Bỉnh Khiêm, Phường Xương Huân, Thành phố Nha Trang, Khánh Hòa",,0258 3829 345,Có,huyentranghotel6262@gmail.com,http://huyentranghotelnhatrang.com,,
Khách sạn Ponys 2,"8/8 - Đinh Tiên Hoàng, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,096 894 06 97,Có,info@khachsanrelax2.com,http://khachsanponys2.com,,
Villa mini Diệu Thanh,"106 C Đông Tĩnh,, Phường 7, Thành phố Đà Lạt, Lâm Đồng",,"0263 3520 424, 093 756 92 88",Có,trinhthanhsctld@gmail.com,,,
Khách sạn Lavender,"143 Lê Lợi, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",,091 338 57 78,Có,hotellavenderqb@gmail.com,,,
Khách sạn Hồng Phúc,"29c Phan Bội Châu, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,090 281 08 11,Có,,,,
Khách sạn Fansipan View,"Ngõ Hùng Hồ, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,0214 3873 579,Có,hotelfansipanview@gmail.com,,,0214 3873 466
Khách sạn Darling,"11 Thác Bạc, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",37,0214 3871 349,Có,,,,0214 3871 963
Khách sạn Đăng Khoa,"75 Xuân Viên, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",30,0214 3872 999,Có,,,,
Khách sạn Dân tộc,"Tổ 9 Thác Bạc, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",14,0214 5264 388,Có,,,,
Khách sạn Chapa Valley,"24 Mường Hoa, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,090 400 42 77,Có,,,,
Khách sạn Tulip 3,"57-59 Đường 3 tháng 2, Phường 1, Thành phố Đà Lạt, Lâm Đồng",50,0263 3510 986,Có,info3@tuliphoteldalat.com,http://www.tuliphotelgroup.com/,1.000.000,0263 3510 982
Khách sạn Cat Cat Galerie D'Art,"46 đường Fansipan, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",40,096 538 65 38,Có,catcathotel@hn.vnn.vn,,,
Khách sạn T.U.K,"180/2 Nguyễn Công Trứ, Phường 8, Thành phố Đà Lạt, Lâm Đồng",,0263 3684 784,Có,tukhoteldalat@gmail.com,,,
Khách sạn Cát Cát Twilight,"45 Fansipan, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,0214 3873 380,Có,,,,0214 3873 380
Khách sạn  Kim Ngân,"52 Hoàng Hoa Thám, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3524 411,Có,kimngan@hotelkimngan.com,http://hotelkimngan.com,,
Khách sạn Cát Cát,"42 Fansipan, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,0214 3871 387,Có,,,,0214 3872 944
Khách sạn Casablanca Sapa,"26 Đồng Lợi, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",12,0214 3872 667,Có,casablancahotel@gmail.com,,,0214 3872 666
Khách sạn Trung Cang,"22 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3822 663,Có,reservation@trungcanghotel.vn,http://www.trungcanghotel.vn/,,0263 3836 701
Khách sạn Cảnh Đẹp,"63 Mường Hoa, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",12,0214 3871 163,Có,,,,
Khách sạn DAG,"59A Lê Thành Phương, Phường Phương Sài, Thành phố Nha Trang, Khánh Hòa",,0258 3827 227,Có,,,,
Khách sạn Thanh Thủy,"64B/4 Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3521 281,Có,,,,
Khách sạn Cozy House,"Lô 15  Hẻm Trần Quang Khải , Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 2465 540,Có,sales@cozyhousenhatrang.com,,,
Khách sạn B Phương Liên,"41 Ô 25 Khu DC Đường Đệ, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",,"0258 0909 341 931, 090 934 19 31",Có,,,,
Khách sạn Tân Phú Hưng,"72 Nguyễn Chí Thanh, Phường Vĩnh Hải, Thành phố Nha Trang, Khánh Hòa",,0258 6535 677,Có,,,,
Khách sạn Trầm Hương,"84 Nguyễn Văn Trỗi, Phường 2, Thành phố Đà Lạt, Lâm Đồng",24,0263 3520 212,Có,Tramhuonghotel@gmail.com;Tramhuongstudio@gmail.com,https://tramhuonghotel.vn/,,0263 3520 215
Khách sạn Thúy Trân,"4 Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3520 161,Có,,,500.000 - 700.000,
Khách sạn Thung Lũng Xanh,"75C An Bình, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,0263 3532 310,Có,,,,
Khách sạn Quảng Hồng Phát,"63/4 Nguyễn Thị Minh Khai, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3512 589,Có,quanghongphat@gmail.com,,,
Khách sạn Thiên Phúc,"44/12 Biệt Thự, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",,0258 3524 648,Có,thienphuchotel@gmail.com,,,
khách sạn Nha Trang Đảo,"1 Ngô Sĩ Liên, Phường Phương Sài, Thành phố Nha Trang, Khánh Hòa",,0258 2495 252,Có,nhatrangislandhotel@gmail.com,,,
Khách sạn Thu Hiền,"69 Phan Bội Châu, Phường 1, Thành phố Đà Lạt, Lâm Đồng",13,0263 3585 757,Có,khachsanthuhien@gmail.com,,,
Khách sạn Thông Đỏ,"10 Pasteur, Phường 4, Thành phố Đà Lạt, Lâm Đồng",38,0263 3835 574,Có,,,,
Khách sạn Thiên Hòa Luxury,"137 Nguyễn Công Trứ, Phường 8, Thành phố Đà Lạt, Lâm Đồng",20,091 228 77 85,Có,thienhoahotel137@gmail.com,,,
Khách sạn Hồng Ngọc,"31/E2 Biệt Thự, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",,0258 3521 874,Có,rubyhotel@yahoo.com.vn,,,
Khách sạn Nam Huy,"196/4 Tô Ngọc Vân, Kp 5	, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",22,093 875 85 77,Có,,,100.000,
Khách sạn Thắng Lợi 1,"114 Đường 3 tháng 2, Phường 1, Thành phố Đà Lạt, Lâm Đồng",37,0263 3826 031,Có,,,,
Khách sạn Zen,"11 Nguyễn Tất Thành, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",,0211 3617 777,Có,,,,
Khách sạn Trường Giang,"Yên Phương, Thị trấn Yên Lạc, Huyện Yên Lạc, Vĩnh Phúc",,098 579 74 45,Có,,,,
Khách sạn Bách Diệp,"33 Trường Chinh, Xuân Hòa, Phường Trưng Trắc, Thị xã Phúc Yên, Vĩnh Phúc",,098 584 35 15,Có,,,,
Khách sạn Holiday,"Hai Bà Trưng, Phường Hùng Vương, Thị xã Phúc Yên, Vĩnh Phúc",,0211 3686 333,Có,,,,
Khách sạn Bảo Ngọc,"196 Thạch Sơn, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",14,0214 3666 686,Có,,,,
Khách sạn Thanh Thế,"118 Phan Đình Phùng, Phường 3, Thành phố Đà Lạt, Lâm Đồng",27,0263 3822 180,Có,khachsanthanhtheyahoo.com,,,0263 3832 275
Khách sạn Phú Hưng,"Trần Phú, Phường Nam Viêm, Thị xã Phúc Yên, Vĩnh Phúc",,0211 3856 004,Có,,,,0211 3520 099
Khách sạn Bảo An Sa Pa,"015 Ngũ Chỉ Sơn, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,096 639 36 22,Có,,,,
Khách sạn Hoàng Phương,"Tiền Châu, Phường Trưng Trắc, Thị xã Phúc Yên, Vĩnh Phúc",25,0211 3533 333,Có,,,,
Khách sạn Tứ Anh,"Số 61 đường Hùng Vương, Phường Trưng Trắc, Thị xã Phúc Yên, Vĩnh Phúc",,"0211 3548 668, 098 232 82 56",Có,,,,
Khách sạn Arapang,"05 Phan Như Thạch, Phường 1, Thành phố Đà Lạt, Lâm Đồng",30,"0263  3500 800, 091 800 71 11",Có,arapangdalat@gmail.com,,,
Khách sạn Ba Liên III,"2 Lê Văn Tám, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,091 558 59 50,Có,,,,
Khách sạn Anh Em,"57 Thạch Sơn , Phường Sa Pa, Thị xã Sa Pa, Lào Cai",10,096 172 16 86,Có,,,,
Khách sạn Auberge Đặng Trung,"31 Mường Hoa, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",16,0214 3871 871,Có,nguyenmanh762001@yahoo.fr,,,0214 3871 666
Khách sạn Mê Linh,"Khu A Hồ Đại Lải, Xã Cao Minh, Thị xã Phúc Yên, Vĩnh Phúc",,0211 3656 021,Có,,,,
Khách sạn Anh Đào,"34 Cầu Mây, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",13,0214 3871 290,Có,,,,0214 3873 567
Khách sạn Ấn Tượng,"27 Ngõ 29 Fansipan, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",11,091 766 65 33,Có,,,,
Khách sạn Duy Cường,"11 nhành nối 10 , Phường Sa Pa, Thị xã Sa Pa, Lào Cai",12,090 446 67 80,Có,,,,
Khách sạn Sen Vàng,"255 Phan Đình Phùng, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,0263 3556 003,Có,saphirdalathotel2011@gmail.com,http://www.khachsansenvangdalat.com/,,0263 3523 469
Khách sạn Adam1,"571 Điện Biên Phủ, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",16,0214 3871 570,Có,,,,
Khách sạn Cẩm Tú,"1 Ngô Tất Tố, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa",,0258 3884 356,Có,,,,
Khách sạn Tuấn Anh,", Thị trấn Tam Đảo, Huyện Tam Đảo, Vĩnh Phúc",,0211 3824 868,Có,,,,
Khách sạn Bốn Mùa,"8 Mường Hoa, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",16,0214 3658 668,Có,,,,0214 3658 669
Khách sạn Thanh Hà,"1 Phạm Văn Sảo, Xã Vạn Hoà, Thành phố Lào Cai, Lào Cai",17,091 213 21 89,Có,,,,
Khách sạn Hồng Ngọc,"5B Nguyễn Huệ, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",18,096 168 65 55,Có,,,,
Khách sạn Việt Tú,"257 Minh Khai, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",10,0164 961 7300,Có,,,,
Khách sạn Việt Hoa,"1 Phan Đình Phùng, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",12,0214 3830 082,Có,,,,
Khách sạn Anh Đức,"Khu 1, Thị trấn Tam Đảo, Huyện Tam Đảo, Vĩnh Phúc",10,0211 3824 898,Có,khachsananhductd@gmail.com,,450.000 - 800.000,
Khách sạn Trường Tín,"126 Nguyễn Huệ, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",13,0214 3832 714,Có,,,,
Khách sạn Sairt Paul,"6H Quân Trấn - Hùng Vương, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3525 441,Có,,,,
Khách sạn Yên Mỹ,"22 Hoàng Hoa Thám, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3525 064,Có,,,,
Khách sạn Phương Mai,"17 Thủ Khoa Huân, Phường 1, Thành phố Đà Lạt, Lâm Đồng",,0263 3821 194,Có,Phatphuongmai@yahoo.com,,400.000 - 850.000,0263 3886 688
Khách sạn Yến Mai,"98A Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3521 589,Có,,,,
Khách sạn Kim Ngân,"58 Hợp Thành, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",22,096 599 98 68,Có,,,,
Khách sạn Hùng Vương,"88 Minh Khai, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",20,0214 3865 868,Có,,,,
Khách sạn Xuân Tùng,"Khóm 4, Thị trấn Vạn Giã, Huyện Vạn Ninh, Khánh Hòa",,0258 3840 565,Có,,,,
Khách Sạn Eden Garden,"175/21 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",27,098 326 14 34,Có,,,450.000 - 600.000,
Khách sạn Hồng Hà Lào Cai,"52A Lê Khôi, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",14,091 326 97 04,Có,,,,
Khách sạn Việt Thảo,"90 Bạch Đằng, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",,0258 3510 005,Có,,,,
Khách sạn Phát Đạt Lợi,"793/60A Trần Xuân Soạn, Kp 4	, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh",18,028 2231 1509,Có,,,270.000 - 320.000,
"Khách sạn Hồng Hà I, II","48 Minh Khai, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",15,0214 3820 225,Có,,,,
Khách sạn Hoàng Phong,"219/8A - 219/9 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",39,028 3836 1755,Có,brilliantsaigonhotel@gmail.com,,600.000 - 1.200.000,
Khách sạn Hòa Bình,"51 Minh Khai, Phường Lào Cai, Thành phố Lào Cai, Lào Cai",26,0214 3835 599,Có,,,,
Khách sạn Phú An,"B70 Nguyễn Hữu Thọ, Kdc Kim Sơn, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",11,093 782 31 78,Có,,,250.000,
Khách sạn Tiền Hải,"73 Dã Tượng, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa",,0258 3888 571,Có,tienhaihotel.nt@gmail.com,,,
Khách Sạn Hoàng Lâm,"35A1 Lý Phục Man,  Kp2, Tổ 14	, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh",15,098 790 43 29/ 097 265 58 16,Có,,,250.000,
Khách Sạn Nhà Xuân,"219/2 - 219/2 BIS- 221 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",34,028 3837 8312,Có,dragonpalacesaigon@gmail.com,www.dragonpalacehotelsaigon.com,500.000 - 1.000.000,028 3837 8311
Khách sạn Maika,"18 Trần Văn Ơn, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3819 204,Có,,,,
Khách sạn Thu Hà,"32 Trần Nguyên Hãn, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",,0258 3511 401,Có,,,,
Khách Sạn New Grand,"2 2C, Kdc Phú Mỹ	, Phường Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh",10,098 399 37 99,Có,,,300.000,
Khách sạn Lũ Đông Kinh,"6/11 - 6/13 Cách Mạng Tháng Tám, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",14,028 3825 6747,Có,,,400.000 - 500.000,
Khách sạn Phố Lạnh,"59 Hà Huy Tập, Phường 3, Thành phố Đà Lạt, Lâm Đồng",30,0263 3531 238,Có,coldcityvn@gmail.com,,,
Khách sạn Thắng Lợi,"Khu 1, Thị trấn Tam Đảo, Huyện Tam Đảo, Vĩnh Phúc",25,0211 3824 688,Có,thangloitdhotel@gmail.com,,,
Khách sạn Thiên Thanh,"3G Quân Trấn - Hùng Vương, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3521 304,Có,,,,
Khách Sạn Phương Nhàn,"104 Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",12,028 3846 9930,Có,pnhan8777@gmail.com,www.phuongnhanhotel.com,350.000 - 450.000,
Khách sạn Thiên  Kim II,"6A Ngô Đức Kế, Phường Tân Lập, Thành phố Nha Trang, Khánh Hòa",,0258 3516 170,Có,,,,
Khách sạn Thiên Kim I,"9 Nguyễn Chánh, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3522 515,Có,,,,
Khách Sạn Một Năm Một,"151 Calmette, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",17,091 315 02 92,Có,,,550.000 - 750.000,
Khách sạn Thanh Xuân,"100/6A Trần Phú, Phường Lộc Thọ, Thành phố Nha Trang, Khánh Hòa",,0258 3524 659,Có,,,,
