Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Siêu thị Phố Núi,"102 Phạm Văn Đồng, Phường Thống Nhất, Thành phố Pleiku, Gia Lai",0269 3744 110,,,0269 3824 370
Trung tâm thương mại Pearl Plaza,"561 A Điện Biên Phủ , Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",028 093 813 27 23,retail@ssggroup.com.vn,http://www.pearlplaza.com.vn,
Trung tâm thương mại Lotte Mart Nam Sài Gòn,"469 Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh",028 3775 3232,info@lotte.vn,http://lottemart.com.vn,028 3775 1575
Trung tâm thương mại Lotte Mart Phú Thọ,"Lầu 1-5 Tòa nhà EverRich, 968 Đường 3 Tháng 2, Phường 15, Quận 11, Thành phố Hồ Chí Minh",028 2225 0686,info@lotte.vn,http://lottemart.com.vn,028 3775 1575
Trung tâm thương mại Lotte Mart Gò Vấp,"242 Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Thành phố Hồ Chí Minh",028 3895 0907 - 09 3529 1827,info@lotte.vn,http://lottemart.com.vn/,
Bánh đậu xanh Minh Ngọc,"102 Thống Nhất, Phường Cẩm Thượng, Thành phố Hải Dương, Hải Dương",0220 091 600 88 08,,,
Cửa hàng Bánh Đậu Xanh Nguyên Hương,"68 Trần Hưng Đạo, Phường Trần Hưng Đạo, Thành phố Hải Dương, Hải Dương",,,,
Làng Thêu Ren Thanh Hà,"Thanh Hà, Thanh Liêm, Hà Nam, Xã Thanh Hà, Huyện Thanh Liêm, Hà Nam",,,,
Làng nghề mây tre đan Ngọc Động,"Ngọc Động, Phường Hoàng Đông, Huyện Duy Tiên, Hà Nam",,,,
Làng Nghề Dệt Lụa Tơ Tằm Nha Xá,"Mộc Nam, Xã Mộc Nam, Huyện Duy Tiên, Hà Nam",,,,
Chợ Bầu,"Phủ Lý, Hà Nam, Phường Quang Trung, Thành phố Phủ Lý, Hà Nam",,,,
Cá Kho Làng Vũ Đại,"Làng Nhân Hậu, Xã Hòa Hậu, Huyện Lý Nhân, Hà Nam",0226 091 508 51 51,,,
Trung tâm thương mại Vincom+ Hải Dương,"Km số 4, Khu dân cư Nguyễn Trãi 1 (Đối diện Ủy ban nhân dân thị xã Chí Linh - Hải Dương), Phường Sao Đỏ, Thị xã Chí Linh, Hải Dương",0220  090 17 61 233,v.csm.1592@vinmart.com,,
Điểm dừng chân Minh Anh 77,"Phường Hoàng Tân, Chí Linh, Hải Dương, Phường Hoàng Tân, Thị xã Chí Linh, Hải Dương",0220 0915089667,,,
Siêu thị Co.opMart Vị Thanh,"319 Trần Hưng Đạo, Phường I, Thành phố Vị Thanh, Hậu Giang",0293 3581 505,,http://www.co-opmart.com.vn,
Chợ Ngã Bảy (chợ nổi Phụng Hiệp),", Phường Ngã Bảy, Thị xã Ngã Bảy, Hậu Giang",,,,
Siêu thị Co.opmart Ngã Bảy,"Khu vực 3, Phường Ngã Bảy, Thị xã Ngã Bảy, Hậu Giang",0293 3962 900,,http://www.co-opmart.com.vn,
Trung tâm thương mại Vincom Hậu Giang,"01 đường 3 tháng 2, Khu vực 3, Phường V, Thành phố Vị Thanh, Hậu Giang",0293 2461 222,,https://vincom.com.vn/vi/tttm/vincom-plaza-vi-thanh,
Cửa hàng Sách – Thiết bị trường học Hà Tĩnh,"58, đường Phan Đình Phùng, Phường Nam Hà, Thành phố Hà Tĩnh, Hà Tĩnh",0239 38 56 787 - 38 59 708,gdhbec@gmail.com,https://hbec.com.vn/,0239 38 92 839
Siêu thị Co-opMart Hà Tĩnh,"2 Phan Đình Phùng, Phường Nam Hà, Thành phố Hà Tĩnh, Hà Tĩnh",0239 3895 555,cmhatinh@coopmart.vn,http://www.co-opmart.com.vn/ https://www.facebook.com/Coopmart-H%C3%A0-T%C4%A9nh-351310065646033/,0239 3896 568
Trung tâm đặc sản Hà Tĩnh CED CENTRAL,"02 đường Vũ Quang, Phường Trần Phú, Thành phố Hà Tĩnh, Hà Tĩnh",0239 0906.591.691 – 0799.13.33.88,cedcentralht@gmail.com,https://dacsanhatinh.vn/,
Trung tâm thương mại Vincom Hà Tĩnh,"Góc Ngã tư đường Hà Huy Tập và đường Hàm Nghi, Phường Hà Huy Tập, Thành phố Hà Tĩnh, Hà Tĩnh",0239 0981 009 187,,https://vincom.com.vn/vi/tttm/vincom-plaza-ha-huy-tap-ha-tinh,
Trang trại bưởi Phúc Trạch,"Xóm Tân Phúc, Xã Hương Trạch, Huyện Hương Khê, Hà Tĩnh",0239 0965 920067,tranloat9999@gmail.com,https://buoi-phuc-trach-choa.business.site/,
Chợ thành phố Hà Tĩnh,"Đường Đặng Dung, Phường Nam Hà, Tp. Hà Tĩnh, Thành phố Hà Tĩnh, Hà Tĩnh",,,,
Cửa hàng bánh cu đơ Ông Bà Thư Viện,"481 Hà Huy Tập, Phường Bắc Hà, Thành phố Hà Tĩnh, Hà Tĩnh",0239 091 293 78 99,,https://cu-o-ong-ba-thu-vien.business.site/,
Trung tâm thương mại Như Quỳnh Center,"Đường số 1, Thị trấn Như Quỳnh (Km 13 Quốc lộ 5A, Hà Nội - Hải Phòng), Thị trấn Như Quỳnh, Huyện Văn Lâm, Hưng Yên",,,,
Siêu thị Aeon Citimart Ecopark,"KĐT Thương Mại & Dịch Vụ Văn Giang, Xã Xuân Quan, Huyện Văn Giang, Hưng Yên",0221 (024) 6292 8906,,,
Trung tâm thương mại Vincom Kiên Giang,"Lô A12, Khu phố 1, Đường Cô Bắc, Phường Vĩnh Bảo, Thành phố Rạch Giá, Kiên Giang",0297 0911 639 799,,https://vincom.com.vn/vi/tttm/vincom-plaza-kien-giang,
Cửa hàng thời trang CANIFA Hòa Bình,"858 Cù Chính Lan, Phường Phương Lâm, Thành phố Hòa Bình, Hoà Bình",0218 0948.381.967,hello@canifa.com,https://canifa.com,0218 024 .6277.6419
Chợ Phương Lâm,"Đường Cù Chính Lan, Phường Phương Lâm, Thành phố Hòa Bình, Hoà Bình",,,,
Cửa hàng Hoa Ban Plus,"2 Bản Lác, Xã Chiềng Châu, Huyện Mai Châu, Hoà Bình",0218 0943157000,hoabanplus2008@gmail.com,http://hoabanplus.com/index.html,
Trung tâm thương mại Vincom Plaza Hòa Bình,"Trung tâm thương mại và nhà phố thương mại Shophose Hòa Bình, đường Cù Chính Lan, Phường Đồng Tiến, Thành phố Hòa Bình, Hoà Bình",0218 0867186996,,https://vincom.com.vn/vi/tttm/vincom-plaza-hoa-binh,
Làng nghề hương xạ Cao Thôn,"Xã Bảo Khê, Xã Bảo Khê, Thành phố Hưng Yên, Hưng Yên",,,,
Cửa hàng Hương Sen Food,"QL 39A, Thôn An Chiểu 2, Xã Liên Phương, Thành phố Hưng Yên, Hưng Yên",0221  0915.554.236,xuancuongbdv@gmail.com,http://huongsenfood.com/,
Chợ Phố Hiến,"Phố Nguyễn Trãi, Phường Lê Lợi, Thành phố Hưng Yên, Hưng Yên",,,,
Chợ Như Quỳnh,"QL5, Thị trấn Như Quỳnh, Huyện Văn Lâm, Hưng Yên",,,,
Chợ Mễ Sở,"Mễ Sở, Thị trấn Văn Giang, Huyện Văn Giang, Hưng Yên",,,,
Chợ Gạo,"39, P. An Tảo, Phường An Tảo, Thành phố Hưng Yên, Hưng Yên",,,,
Chợ cuối tuần Eco Sunday Hưng Yên,"Khu đô thị thương mại và du lịch Văn Giang, Xã Xuân Quan, Huyện Văn Giang, Hưng Yên",0221 096 161 52 99,,www.ecopark.com.vn/vi,
Siêu Thị BRG Mart Phố Nối,"Phố Nối, Xã Nghĩa Hiệp, Huyện Yên Mỹ, Hưng Yên",,,,
Cửa hàng A Little Corner - Craft Shop,"48 Nguyễn Trãi, khu phố 2, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",,,,
Cửa hàng ngọc trai Long Beach Pearl,"124, đường Trần Hưng Đạo, khu phố 7, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",0297 3702 233/ 0985 8585 53,cskh@longbeachpearl.com,https://longbeachpearl.com/,
Chợ đêm Hà Tiên,"Trước công viên Đông Hồ Ấn Nguyệt, Phường Đông Hồ, Thị xã Hà Tiên, Kiên Giang",,,,
Showroom ngọc trai Ngọc Hiền,"Tổ 1, Ấp Dương Tơ, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",0297 0933 221 221/ 0396 080 999/ 0776 820 999,cskh@ngochienpearl.com,https://ngochienpearl.com/,
Chợ đêm Phú Quốc,"Đường Bạch Đằng, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",,,,
Siêu thị Vinatex Kon Tum,"280 Trần Hưng Đạo, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",0260 6250 041,vinatex-kontum@vinatexmart.vn,,
Chợ Dương Đông,"Khu 4, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",,,,
Chợ Hà Tiên,"Đường Trần Hầu, TX. Hà Tiên, Phường Vĩnh Thanh Vân, Thành phố Rạch Giá, Kiên Giang",,,,
Siêu thị Hương Long,"Số 046 đường 30/4, Tổ 9, đường Điện Biên Phủ, Phường Tân Phong, Thành phố Lai Châu, Lai Châu",0213 02133875355,,,
Cửa hàng Lai Châu Food,"Số 069 Đường Tuệ Tĩnh, Phường Đông Phong, Thành phố Lai Châu, Lai Châu",0213 0376.599.799 - 0962.082.560,laichaufood25@gmail.com,https://laichaufood.com/,
Cửa hàng thời trang Genviet Lai Châu,"160 Trần Phú, Phường Tân Phong, Thành phố Lai Châu, Lai Châu",0213 0982456288,longanhprint@gmail.com,https://genviet.com/,
Chợ đêm San Thàng,"QL4D, Tam Đường, Phường Quyết Thắng, Thành phố Lai Châu, Lai Châu",,,,
Cửa hàng bán sản phẩm chè sạch Tam Đường,"187 Trần Phú, Phường Tân Phong, Thành phố Lai Châu, Lai Châu",0213 0911647888 - 02133.875.985,congtychetamduong@gmail.com,www.tamduongtea.com.vn,
Chợ Cửa khẩu Tân Thanh,"Bản Nà Lầu, Xã Tân Thanh, Huyện Văn Lãng, Lạng Sơn",,,,
Chợ Đông Kinh,"Phai Vệ, Phường Vĩnh Trại, Thành phố Lạng Sơn, Lạng Sơn",,,,
Siêu thị Co.opMart Hà Tiên,"Khu phố 2, đường Mạc Công Du, Phường Đông Hồ, Thị xã Hà Tiên, Kiên Giang",0297 3957 939,,http://www.co-opmart.com.vn,
Trung tâm Thương mại Rạch Giá,"8 Lý Thái Tổ, Phường Vĩnh Thanh, Thành phố Rạch Giá, Kiên Giang",0297 3871 223,,,
Chợ Bắc Hà,"Thị trấn Bắc Hà, Thị trấn Bắc Hà, Huyện Bắc Hà, Lào Cai",,,,
Chợ Cán Cấu,"ĐT153, Xã Cán Cấu, Huyện Si Ma Cai, Lào Cai",,,,
Chợ Cốc Lếu,"Phường Cốc Lếu, Phường Duyên Hải, Thành phố Lào Cai, Lào Cai",0214 0917236493,cocleu@laocaitourism.com,,
Chợ Kỳ Lừa,"Phố Trần Đăng Ninh, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Lạng Sơn",,,,
Trung tâm thương mại Vincom Tân An,"Góc đường Hùng Vương và đường Mai Thị Tốt, Phường 2, Thành phố Tân An, Long An",,,,
Trung tâm thương mại Vincom Plaza Lạng Sơn,"Phía Nam Cầu Kỳ Lừa, Phường Chi Lăng, Thành phố Lạng Sơn, Lạng Sơn",0205 01259815588,,https://vincom.com.vn,
Cửa hàng thời trang TOKYOLIFE Lạng Sơn,"89 Trần Đăng Ninh, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Lạng Sơn","0205 0205 3762 222,m",,,
Chợ Sa Pa,"Thị trấn Sa Pa, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",,,,
Siêu thị Mai Long,"Số 437 đường Hoàng Liên, Phường Kim Tân, Thành phố Lào Cai, Lào Cai",0214 02146557888,maihuongtruong90@gmail.com,http://sieuthimailong.vn/,
Cửa hàng thổ cẩm Lan Rừng Sapa,"29A – Phố Cầu Mây , Phường Sa Pa, Thị xã Sa Pa, Lào Cai",0214 0902027825,info@thocamlanrung.com,https://thocamlanrung.com,
Cửa hàng Hue Silk Sapa,"024 Phố Cầu Mây, Phường Sa Pa, Thị xã Sa Pa, Lào Cai",0214 020 3871050,huesilksapa@yahoo.com,,
Chợ Cốc Ly,"Xã Cốc Ly, Bắc Hà, Sapa, Lào Cai, Thành phố Lào Cai, Lào Cai",,,,
Cửa hàng thời trang CANIFA Lào Cai,"193 Hoàng Liên, Phường Cốc Lếu, Thành phố Lào Cai, Lào Cai",,,,
Chợ Rồng,"301 Phố Trần Hưng Đạo, Phường Bà Triệu, Thành phố Nam Định, Nam Định",,,,
Cửa hàng Bánh gai Bà Thi,"104A Phố Trần Hưng Đạo, Thành phố Nam Định, Nam Định",0228 02283838416,,,
Cửa hàng Kẹo Sìu Châu Nguyên Hương,"12 Hàng Sắt, Phường Hạ Long, Thành phố Nam Định, Nam Định",,,,
Chợ Viềng,"Đường Vàng, Thị trấn Nam Giang, Huyện Nam Trực, Nam Định",,,,
Siêu thị Big C Nam Định,"QL10, Phường Lộc Hòa, Thành phố Nam Định, Nam Định",0228 0228 3686 888,,https://www.bigc.vn/,
Cửa hàng thời trang CANIFA,"126 Hàng Tiện, Phường Quang Trung, Thành phố Nam Định, Nam Định",0228 022 8363 6662,hello@canifa.com,https://canifa.com/he-thong-cua-hang.html,
Cửa hàng Nước mắm Lâm Bão,"Khu 4B, Thị trấn Cồn , Thị trấn Cồn, Huyện Hải Hậu, Nam Định",0228 02283.874.364   02283.789.364,lambaohaihau@gmail.com,http://nuocmamlambao.vn,
Chợ Rồng,"Đường Vân Giang, Phường Vân Giang, Thành phố Ninh Bình, Ninh Bình",,,,
Cửa hàng thời trang CANIFA,"155 Lê Hồng Phong, Phường Đông Thành, Thành phố Ninh Bình, Ninh Bình",0229 0948.381.967,hello@canifa.com,https://canifa.com,
Siêu Big C Ninh Bình,"Đường Trần Nhân Tông, Xã Ninh Phúc, Thành phố Ninh Bình, Ninh Bình",0229 0229 38 94 222,crv.dvkh@vn.centralretail.com,https://www.bigc.vn/,
Đặc sản Tam Phát - Ninh Bình,"Đường 477, Thượng Nam, Xã Ninh Nhất, Thành phố Ninh Bình, Ninh Bình",0229 0979556379,dacsantamphatninhbinh@gmail.com,,
Cửa hàng San Hà Foodstore,"Số 151 Nguyễn Văn Siêu, Xã Thanh Phú, Huyện Bến Lức, Long An",0272 6560 631,,https://sanha.vn/,
Chợ đêm Tân An,"Nguyễn An Ninh, Phường 3, Thành phố Tân An, Long An",,,,
Siêu thị Co.opMart Tân An,"1 Mai Thị Tốt, Phường 1, Thành phố Tân An, Long An",0272 3526 887,,http://www.co-opmart.com.vn,0272 3526 868
Trung Tâm mua sắm Chợ Sen,"Xã Vân Diên, H. Nam Đàn, Nghệ An",,,,
Chợ bến cá Nghi Thủy,", Phường Nghi Thuỷ, Thị xã Cửa Lò, Nghệ An",,,,
Chợ đêm Cao Thắng,"Đường Cao Thắng, Phường Hồng Sơn, Thành phố Vinh, Nghệ An",,,,
Chợ hải sản Cửa lò,", Phường Thu Thuỷ, Thị xã Cửa Lò, Nghệ An",,,,
Chợ Vinh,", Phường Hồng Sơn, Thành phố Vinh, Nghệ An",,,,
Cửa hàng Quà tặng Thiên việt,"Tầng 7 – Tòa nhà VCCI – số 1 Đại lộ Lê Nin, Phường Hưng Dũng, Thành phố Vinh, Nghệ An",0238 3563 186/ 0973 005 186,quatangthienviet@gmail.com,http://quatangthienviet.com/,
Siêu thị MMMega Market Vinh,"Đường Dũng Quyết, Phường Bến Thủy, Thành phố Vinh, Nghệ An",0238 0963 057 518,contactus@mmvietnam.com,https://online.mmvietnam.com/store/mm-vinh/,
Siêu thị Intimex Nghệ An,"32 Đại lộ Lê Nin, Xã Nghi Phú, Thành phố Vinh, Nghệ An",0238 3558 690,,,0238 3558 487
Siêu thị Big C Vinh,"2 Quang Trung, Phường Quang Trung, Thành phố Vinh, Nghệ An",0238 8686 456,,https://www.bigc.vn/store/big-c-vinh-20.html,
Siêu thị Maximark,"166 Nguyễn Thái Học, Phường Lê Lợi, Thành phố Vinh, Nghệ An",0238 3561 322,,http://maxivinh.com/,
Trung tâm thương mại Vincom Plaza Việt Trì,"Phố Đoàn Kết, Phường Tiên Cát, Thành phố Việt Trì, Phú Thọ",0210 0210 625 8888,,https://vincom.com.vn/vi/tttm/vincom-plaza-viet-tri-phu-tho,
Siêu thị Phú Cường,"Số 1900, đường Hùng Vương, Phường Nông Trang, Thành phố Việt Trì, Phú Thọ",0210 0983 076 277 -  0210 397 6999,,,
Siêu thị Coopmart Việt Trì,"Số 1606A đường Hùng Vương, , Phường Gia Cẩm, Thành phố Việt Trì, Phú Thọ",0210 0210 3992 222,,www.co-opmart.com.vn,
Siêu thị Big C Việt Trì,"Đường Nguyễn Tất Thành, Phường Thanh Miếu, Thành phố Việt Trì, Phú Thọ",0210 0210 3 639 639,,https://www.bigc.vn/store/big-c-viet-tri-14.html,
Siêu thị Aloha Mall Nông Trang,"Số 2269 - đại lộ Hùng Vương , Phường Nông Trang, Thành phố Việt Trì, Phú Thọ",0210 091 928 45 85 -  0210 3813 747,,http://alohamall.vn/,
Chợ Xốm,"Hùng Lô, Xã Hùng Lô, Thành phố Việt Trì, Phú Thọ",,,,
Chợ Trung Tâm Thành Phố Việt Trì,"Phường Gia Cẩm, Phường Gia Cẩm, Thành phố Việt Trì, Phú Thọ",,,,
Siêu thị Thuận Thanh,"134 Lê Lợi, Phường 4, Thành phố Tuy Hoà, Phú Yên",0257 382 7789/ 389 9176,,,
Cửa hàng Thực phẩm sạch Đông Dương,"398 Trần Hưng Đạo, Phường Nam Lý, Thành Phố Đồng Hới, Quảng Bình",,,,
Siêu thị đặc sản 24h,"Thôn 8, Xã Lý Trạch, Huyện Bố Trạch, Quảng Bình",0232 0932 576 920,,https://www.facebook.com/SieuthiDacsanMienTrung24h,
Siêu thị đặc sản Miền Trung – Xứ Quảng,"185 đường Trương Pháp, Phường Bắc Lý, Thành Phố Đồng Hới, Quảng Bình",0232 3580 9758,,,
Siêu Thị Co.opmart Quảng Bình,"Khu đô thị phía Bắc, đường Lê Lợi, Phường Đồng Phú, Thành Phố Đồng Hới, Quảng Bình",0232 3897 999,,http://www.co-opmart.com.vn,0232 3897 888
Siêu Thị Mini V'mart Phú Yên,"167 - 169 Hùng Vương, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 3821 919/ 0942032943,,https://www.facebook.com/sieuthiminivmart/,
Cửa hàng đặc sản NAH Store,"27 Lê Hồng Phong, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 0983 336 502,,,
Cửa hàng đặc sản Phú Yên Tư Dương,"01 Phù Đổng, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 093 799 09 92/ 097 863 6639,dacsantuduong.info@gmail.com,https://dacsantuduong.com/,
Cửa hàng Chư Yang Sin - Quà Tây Nguyên,"04 Nguyễn Mỹ, Thị trấn Chí Thạnh, Huyện Tuy An, Phú Yên",,,,
Chợ đêm Tuy Hòa,"đường Trần Phú,, Phường 7, Thành phố Tuy Hoà, Phú Yên",,,,
Làng nghề sản xuất tương truyền thống Dục Mỹ,"Thôn Dục Mỹ, Xã Cao Xá, Huyện Lâm Thao, Phú Thọ",,,,
"Điểm trưng bày, giới thiệu và bán sản phẩm OCOP Phú Thọ","Số 28B đường Kim Đồng, Phường Gia Cẩm, Thành phố Việt Trì, Phú Thọ",0210 (0210) 3994 666,,,
Cơ sở sản xuất thịt chua Điệp Đào,"Số 212 Khu Ba Mỏ , Thị trấn Thanh Sơn, Huyện Thanh Sơn, Phú Thọ",0210 098 287 38 89 -  098 893 95 68,,,
Cơ sở sản xuất Đèn trang trí Ngọc Hòa,"46 Lê Văn Hưu, Phường Tân An, Thành phố Hội An, Quảng Nam",0235 3921 216/  0903 59 23 75,truongngochoaha@gmail.com,https://longdenhoian.vn/,
Tiệm may B’lan Silk,"23 Trần Phú, Phường Cẩm Nam, Thành phố Hội An, Quảng Nam",0235 3861 866/ 0913 44 11 23,blansilk@gmail.com,http://blans.org/ https://www.facebook.com/blansilkclothing/,
Xưởng mỹ nghệ Hội An,"9 Nguyễn Thái Học, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 3910 216,,,
Chợ đêm Hội An,"Đường Nguyễn Hoàng, Phường Minh An, Thành phố Hội An, Quảng Nam",,,,
Chợ Hội An,"19 Trần Phú, Phường Cẩm Châu, Thành phố Hội An, Quảng Nam",0235 091 128 82 80,,,
Reaching Out Arts & Crafts Shop,"103 Nguyen Thai Hoc, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 3910 168/ 3862 460,info@reachingoutvietnam.com,https://reachingoutvietnam.com/,
Cửa hàng Âu Lạc Wood Art,"50 Trần Phú, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 3744 918/ 3911 092/ 091 130 08 15,aulac.online@gmail.com,https://mocaulac.com/ https://www.facebook.com/aulacgonghethuat,
March Gallery,"42 Phan Boi Chau, Hoi An, Quảng Nam",0235 0773 779 074,marchgallery.hoian@gmail.com,https://www.marchgallery-hoian.com/,
Chợ Đồng Hới,"05 Mẹ Suốt, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",,,,
Siêu thị Hiếu Hằng,"27 Nguyễn Hữu Cảnh, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 097 223 27 15,,,
Cửa hàng lụa Á Đông,"62 Trần Hưng Đạo, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 3910 579/ 0913 480 276,sales@adongsilk.com ; info@adongsilk.com,www.adongsilk.com,
Trung tâm thương mại Tuấn Việt,"01 Mẹ Suốt - TP. Đồng Hới, Quảng Bình",0232 3822 955,info@tuanviet-trading.com,http://tuanviet-trading.com/,
Trung tâm thương mại Vincom Đồng Hới,"Quách Xuân Kỳ, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 0904523833,,https://vincom.com.vn/vi/tttm/vincom-plaza-dong-hoi-quang-binh,
Đặc Sản Và Quà Lưu Niệm Quảng Bình RoseCity,"103 Trương Pháp, Phường Bắc Lý, Thành Phố Đồng Hới, Quảng Bình",0232 0966 777 171,,,
Siêu thị Big C Go Quảng Ngãi,"02 Lý Thường Kiệt, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",0255 3810 076,,https://go-vietnam.vn/,
Trung tâm thương mại Vincom Quảng Ngãi,"26 Lê Thánh Tôn, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Quảng Ngãi",0255 7306 868,,https://vincom.com.vn/vi/tttm/vincom-plaza-quang-ngai,
Đặc sản Lý Sơn Dori,"Trung tâm cảng Lý Sơn, An Vĩnh, Huyện Lý Sơn, Quảng Ngãi",0255 6555 959,,https://dori.com.vn/,
Cửa hàng đặc sản Foori,"50 Trương Định, Phường Trần Phú, Thành phố Quảng Ngãi, Quảng Ngãi",0255 6251 150,,http://foori.com.vn/,
Cửa hàng đặc sản Zon's Quảng Ngãi,"50 Ngô Sỹ Liên, Phường Trần Phú, Thành phố Quảng Ngãi, Quảng Ngãi",0255 0818 79 3368,,https://zons.vn/,
Trung tâm thương mại Ông Bố,"293 Nguyễn Chí Thanh, Phường Quảng Phú, Thành phố Quảng Ngãi, Quảng Ngãi",,,,
Siêu thị CoopMart Quảng Ngãi,"242 Nguyễn Bá Loan, Tổ 6, Phường Nguyễn Nghiêm, Thành phố Quảng Ngãi, Quảng Ngãi",0255 372 5555,,http://www.co-opmart.com.vn/,0255 3727 799
Chợ Quảng Trị,"Trần Hưng Đạo, Phường 2, Thị xã Quảng Trị, Quảng Trị",,,,
Chợ phiên Cam Lộ,", Thị trấn Cam Lộ, Huyện Cam Lộ, Quảng Trị",,,,
Trung tâm thương mại Lao Bảo,"Lý Thường Kiệt,, Thị trấn Lao Bảo, Huyện Hướng Hóa, Quảng Trị",,,,
Khu phức hợp Zone 76 Complex,"37 Nguyễn Công Phương, Phường Nghĩa Lộ, Thành phố Quảng Ngãi, Quảng Ngãi",,,https://www.facebook.com/ZONE76COMPLEX,
Siêu thị Quảng Ngãi,"70 Đại lộ Hùng Vương, Phường Trần Phú, Thành phố Quảng Ngãi, Quảng Ngãi",0255 3829 376,,,
Chợ Quảng Ngãi,"Ngã 4 Ngô Quyền-Lê Trung Đình-Nguyễn Bá Loan- Nguyễn Nghiêm, Phường Trần Hưng Đạo, Thành phố Quảng Ngãi, Quảng Ngãi",,,,
Siêu thị MiniGood Quảng Trị,"06 Hùng Vương, Phường 1, Thành phố Đông Hà, Quảng Trị",,,"06 Hùng Vương, P 1, Thành Phố Đông Hà, Quảng Trị",
Cơ sở bánh tráng muối Như Bình,"Tổ 8, ấp Phước Dân, xã Phước Chỉ, huyện Trảng Bàng, tỉnh Tây Ninh, Tây Ninh",0276  3583 196/ 091 664 0201,banhtrangnhubinh@gmail.com,https://banhtrangnhubinh.com/,
Hiệu buôn Nhung Tây Ninh,"Đường 784, KP Ninh Nghĩa, Phường Ninh Thạnh, Thành phố Tây Ninh, Tây Ninh",0276 098 327 27 70,thaixoa.tn88@gmail.com,https://www.facebook.com/Hi%E1%BB%87u-Bu%C3%B4n-Nhung-T%C3%A2y-Ninh-103187648081331/,
Vườn nho Tây Ninh,"622, Ấp Phước Tân 2, xã Phan, Xã Phan, Huyện Dương Minh Châu, Tây Ninh",,,,
Cửa hàng thời trang CANIFA,"284 Trường Chinh, Phường Quyết Tâm, Thành phố Sơn La, Sơn La",0212 0975 873 387,hello@canifa.com,https://canifa.com,
Chợ Sơn La,"Chu Văn Thịnh, Phường Chiềng Lề, Thành phố Sơn La, Sơn La",,,,
Chợ Thuận Châu,"Thị trấn Thuận Châu, Huyện Thuận Châu, Sơn La",,,,
Trung tâm thương mại Vincom Plaza Sơn La,"Đường Trường Chinh, Phường Quyết Thắng, Thành phố Sơn La, Sơn La",0212 0869555660,,https://vincom.com.vn/,
Cửa hàng Mộc Châu Food,"27 Đường Hoàng Quốc Việt, Thị trấn NT Mộc Châu, Huyện Mộc Châu, Sơn La",0212 0899 168 266,,https://mocchaufood.vn/,
Trung tâm thương mại Vincom Plaza Sóc Trăng,"77 Trần Hưng Đạo, Phường 3, Thành phố Sóc Trăng, Sóc Trăng",0299 097 566 44 66,,,
Siêu thị Co.op Mart Sóc Trăng,"06 Hùng Vương, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",0299 0793. 3640120,,,
Siêu Thị Ánh Quang Plaza,"07 - 09 Tôn Đức Thắng, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",0299 1900 9081,,https://anhquangplaza.com/,
Điểm dừng chân Tân Huê Viên,"153 Quốc lộ 1A, Xã An Hiệp, Huyện Châu Thành, Sóc Trăng",,,,
Cửa hàng IVY moda Sóc Trăng,"189 Hùng Vương, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",0299 024 6662 3434 - 0299 388 6818,,https://ivymoda.com/,
Cửa hàng bánh kẹo Nguyên Phát,"120 Nguyễn Trung Trực, Phường 2, Thành phố Sóc Trăng, Sóc Trăng",0299  094 497 68 68,,banhkeonguyenphat@gmail.com,
Chợ Trung Tâm Thành Phố Sóc Trăng,"Đường Mạc Đĩnh Chi, Phường 4, Thành phố Sóc Trăng, Sóc Trăng",,,,
Chợ Nổi Ngã Năm,"Phường 1 , Phường 1, Thị xã Ngã Năm, Sóc Trăng",,,,
Chợ đêm Hồ Nước Ngọt,"Hồ Nước Ngọt, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",,,,
Chợ Bông Sen,"52 Yết Kiêu, Phường 6, Thành phố Sóc Trăng, Sóc Trăng",,,,
