Tên cơ sở,Địa chỉ,Điện thoại,Fax,Email,Website
Núi Dành,"Cách thành phố Bắc Giang 20 km về phía Tây Bắc, Xã Liên Chung, Huyện Tân Yên, Bắc Giang",,,,
Làng nghề Thổ Hà,"Làng Thổ Hà nằm dọc theo dòng chảy của bờ bắc sông Cầu, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,,,
Hồ Cấm Sơn,"Nằm thuộc địa phận Xã Sơn Hải, Xã Hộ Đáp, Xã Tân Sơn, Xã Cấm Sơn, Huyện Lục Ngạn, Bắc Giang",,,,
Làng Nôm,", Xã Đại Đồng, Huyện Văn Lâm, Hưng Yên",,,,
Làng nghề đan đó Thủ Sỹ,", Xã Thủ Sỹ, Huyện Tiên Lữ, Hưng Yên",,,,
Đồng Cao Bắc Giang,"Đồng Cao được biết đến là một cao nguyên nhỏ bản Gà, xã Thạch Sơn, Huyện Sơn Động, Bắc Giang",,,,
Đền Thiên Hậu,"56 đường Trưng Trắc, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên",,,,
Đền Quốc Mẫu Âu Cơ,"Thôn Tân Hưng, Xã Hùng Cường, Thành phố Hưng Yên, Hưng Yên",,,,
Bản Đá Húc,"Nằm cách trung tâm xã Bình Sơn hơn 8 km về phía Bắc, Xã Bình Sơn, Huyện Lục Nam, Bắc Giang",,,,
Đền Phượng Hoàng,"Thôn Phượng Hoàng, Xã Minh Tiến, Huyện Phù Cừ, Hưng Yên",,,,
Chùa Phúc Lâm,"Thôn La Mát, Xã Phù Ủng, Huyện Ân Thi, Hưng Yên",,,,
Chùa Chuông,"Thôn Nhân Dục, Phường Hiến Nam, Thành phố Hưng Yên, Hưng Yên",,,,
Mộ Cổ Đống Thếch,"xóm Chiềng Đông, Xã Vĩnh Đồng, Huyện Kim Bôi, Hoà Bình",,,,
Hang Chiều,", Thị trấn Mai Châu, Huyện Mai Châu, Hoà Bình",,,,
Động Thác Bờ,"xóm Bưng, Xã Suối Hoa, Huyện Tân Lạc, Hoà Bình",,,,
Đền Bồng Lai,"khu 3, Thị trấn Cao Phong, Huyện Cao Phong, Hoà Bình",,,,
Bản Văn Mai Châu,", Thị trấn Mai Châu, Huyện Mai Châu, Hoà Bình",,,,
Bản Pom Coọng,", Thị trấn Mai Châu, Huyện Mai Châu, Hoà Bình",,,,
Bản Ngòi,", Xã Suối Hoa, Huyện Tân Lạc, Hoà Bình",,,,
Bản Giang Mỗ,", Xã Bình Thanh, Huyện Cao Phong, Hoà Bình",0218 098 374 70 55,,kimoanhtn88@gmail.com,http://dulichbangiangmo.com
Bản Đá Bia,", Xã Tiền Phong, Huyện Đà Bắc, Hoà Bình",,,,
Bản Bước,"Xóm Bước, Xã Săm Khóe, Huyện Mai Châu, Hoà Bình",,,,
Hồ Hoàn Kiếm,"Hồ Hoàn Kiếm còn được gọi là Hồ Gươm là một hồ nước ngọt tự nhiên, Phường Hàng Trống, Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Quần đảo Nam Du,"Nằm ở phía đông nam đảo Phú Quốc, Xã Nam Du, Huyện Kiên Hải, Kiên Giang",,,,
Hòn Một,"Tọa lạc ở phía đông bắc của đảo Ngọc Phú Quốc, Xã Bãi Thơm, Thành phố Phú Quốc, Kiên Giang",,,,
Hòn Gầm Ghì,"Còn gọi là Hòn Dăm Ngang, nằm ở nơi xa nhất về phía nam của quần đảo An Thới, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",,,,
Hòn Mây Rút,"Hòn Mây Rút Trong là một trong những hòn đảo lớn nằm ở phía Nam thuộc quần đảo An Thới, Xã Hòn Thơm, Thành phố Phú Quốc, Kiên Giang",,,,
Côn Đảo,"Côn Đảo là một quần đảo nằm ở phía Đông Nam, Huyện Côn Đảo, Bà Rịa - Vũng Tàu",,,,
Hòn Móng Tay,"Nằm về phía Bắc đảo Phú Quốc, Xã Dương Hòa, Huyện Kiên Lương, Kiên Giang",,,,
Hòn Thơm,"Hòn Thơm, còn được gọi là Đảo Dứa, là hòn đảo lớn nhất thuộc quần đảo An Thới, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",,,,
Hồ Tà Pạ,"Hồ Tà Pạ là một hồ nước sâu nằm trên đồi Tà Pạ, trong vùng Thất Sơn huyền bí, Xã Núi Tô, Huyện Tri Tôn, An Giang",,,,
Rừng tràm Trà Sư,"Rừng tràm Trà Sư là tên gọi cánh rừng có nhiều cây tràm tọa lạc gần khu vực núi Trà Sư, Xã Văn Giáo, Huyện Tịnh Biên, An Giang",,,,
Cánh đồng Tà Pạ,"Cánh đồng Tà Pạ nằm dưới chân núi Tà Pạ và Cô Tô, Xã Núi Tô, Huyện Tri Tôn, An Giang",,,,
Cồn Phụng (Cồn Đạo Dừa),"Nằm trên một cù lao nổi giữa sông Mỹ Tho, Xã Tân Thạch, Huyện Châu Thành, Bến Tre",,,,
Đồng sen Tháp Mười,"Tọa lạc tại một vùng quê dân dã và bình yên , Xã Mỹ Hòa, Huyện Tháp Mười, Đồng Tháp",,,,
Vườn Quốc gia Tràm Chim,"Thuộc địa phận 7 xã: Tân Công Sinh, Phú Đức, Phú Thọ, Phú Thành A, Phú Thành B, Phú Hiệp, Thị trấn Tràm Chim, Huyện Tam Nông, Đồng Tháp",,,,
Làng hoa Sa Đéc,"Cách trung tâm thành phố Sa Đéc 03km, Phường Tân Quy Đông, Thành phố Sa Đéc, Đồng Tháp",,,,
Thác Voi,"Thác Voi là thác trên dòng suối Đa Mlo tại vùng đất Thôn 8, Xã Đồng Nai, Huyện Bù Đăng, Bình Phước",,,,
Bãi biển Hồ Cốc,"Hồ Cốc là bãi biển nhỏ nằm trên địa bàn xã Bưng Riềng, Huyện Xuyên Mộc, Bà Rịa - Vũng Tàu",,,,
Thung Nai,", Xã Thung Nai, Huyện Cao Phong, Hoà Bình",,,,
Khu Du lịch Sinh thái Vàm Sát,"Tiểu khu 15A, Xã Lý Nhơn, Huyện Cần Giờ, Thành phố Hồ Chí Minh",028 0918135993/ 0947484935,,kdlvamsat@gmail.com,www.vamsat.vn
Thung lũng Mai Châu,", Thị trấn Mai Châu, Huyện Mai Châu, Hoà Bình",,,,
Vườn quốc gia Nam Cát Tiên,"VQGNam Cát Tiên nằm trên địa phận 3 tỉnh: Đồng Nai, Lâm Đồng, Bình Phước, Lâm Đồng",,,,
"Nhà trưng bày hiện vật, cổ vật văn hoá Thái",", Xã Chiềng Châu, Huyện Mai Châu, Hoà Bình",,,,
Lũng Vân,", Xã Vân Sơn, Huyện Tân Lạc, Hoà Bình",,,,
Đèo Long Lanh,"Đèo Long Lanh được biết đến với những cái tên như đèo Omega, đèo Hòn Giao, Bidoup, Huyện Lạc Dương, Lâm Đồng",,,,
Thác Đambri,"Là một thác nước trên dòng Đa M'bri , Xã Đạm Bri, Thành phố Bảo Lộc, Lâm Đồng",,,,
Động Thiên Long,", Xã Lạc Lương, Huyện Yên Thủy, Hoà Bình",,,,
Cánh đồng Cẩm Tú Cầu,"Tổ 1, Thôn Đường Lộc Quý, Xã Xuân Thọ, Thành phố Đà Lạt, Lâm Đồng",0263 090 964 44 99,,,
Động Hoa Tiên,"Xóm Ngòi, Xã Suối Hoa, Huyện Tân Lạc, Hoà Bình",,,,
Động Đá Bạc,"xóm Đá Bạc, Xã Liên Sơn, Huyện Lương Sơn, Hoà Bình",,,,
Di tích lịch sử Nhà máy in tiền,", Xã Phú Nghĩa, Huyện Lạc Thủy, Hoà Bình",,,,
Đèo Đá Trắng,"Quốc lộ 6, Xã Phú Cường, Huyện Tân Lạc, Hoà Bình",,,,
Bảo tàng không gian văn hóa Mường,"220 đường Tây Tiến, Phường Thái Bình, Thành phố Hòa Bình, Hoà Bình",0218 091 355 39 37,0218 3893 688,hieumuong@gmail.com - info@muong.vn,http://muong.vn
Ba Khan,", Xã Sơn Thủy, Huyện Mai Châu, Hoà Bình",,,,
Thiền viện Trúc Lâm Hậu Giang,"Ngã ba Vĩnh Tường, khu vực Bình Tân, Phường Vĩnh Tường, Thị xã Long Mỹ, Hậu Giang",0293 093 272 37 60,,,
Rừng Tràm Vị Thủy - Khu du lịch sinh thái Việt Úc,", Xã Vĩnh Tường, Huyện Vị Thuỷ, Hậu Giang",,,,
Làng trầu Vị Thủy,"xã Vị Thủy, huyện Vị Thủy, tỉnh Hậu Giang, Xã Vị Thuỷ, Huyện Vị Thuỷ, Hậu Giang",,,,
Khu du lịch sinh thái Tầm Vu,", Xã Tân Phú Thạnh, Huyện Châu Thành A, Hậu Giang",,,,
Khu căn cứ Tỉnh ủy (căn cứ Bà Bái),"ấp Phương Quới, Xã Phương Bình, Huyện Phụng Hiệp, Hậu Giang",,,,
Khu Bảo tồn Thiên nhiên Lung Ngọc Hoàng,", Huyện Phụng Hiệp, Hậu Giang",0293 0293 6283338,,lungngochoanghg@gmail.com,https://lungngochoang.haugiang.gov.vn
Di tích lịch sử quốc gia đặc biệt Chiến thắng Chương Thiện,"Phường V, thành phố Vị Thanh và xã Vĩnh Viễn, huyện Long Mỹ , Phường IV, Thành phố Vị Thanh, Hậu Giang",,,,
Đền thờ Bác Hồ,"ấp 3, Xã Lương Tâm, Huyện Long Mỹ, Hậu Giang",,,,
Chùa Aranhứt,"ấp Long An A, Thị trấn Cái Tắc, Huyện Châu Thành A, Hậu Giang",,,,
Hải đăng Kê Gà,"Cách Phan Thiết khoảng 30 km, Xã Tân Thành, Huyện Hàm Thuận Nam, Bình Thuận",,,,
Núi lửa Chư Đăng Ya,"Cách trung tâm thành phố Pleiku khoảng 30km về hướng đông bắc, Xã Chư Đăng Ya, Huyện Chư Păh, Gia Lai",,,,
Hồ T’Nưng,"Nằm ở phía bắc thành phố Pleiku, Xã Biển Hồ, Thành phố Pleiku, Gia Lai",,,,
Biển Hồ chè,"Thuộc ấp Bình Định, Xã Sơn Lang, Huyện KBang, Gia Lai",,,,
Núi Ngọc Linh,"Nằm trong dải dãy Trường Sơn với đỉnh cao nhất là đỉnh Ngọc Linh, Huyện Tu Mơ Rông, Kon Tum",,,,
Thác Dray Sáp,"Nằm trên dòng Serepôk, Xã Đắk Sôr, Huyện Krông Nô, Đắk Nông",,,,
Hồ Tà Đùng,"Hồ Tà Đùng gắn với đập thủy điện Đồng Nai, Xã Đắk Plao, Huyện Đăk Glong, Đắk Nông",,,,
Linh Sơn Viên Giác Tự,", Thị trấn Núi Đối, Huyện Kiến Thuỵ, Thành phố Hải Phòng",,,,
Thác Pongour,"Nằm trên sông Đa Nhim, Xã Phú Hội, Huyện Đức Trọng, Lâm Đồng",,,,
Hồ Tuyền Lâm,"Nằm cách trung tâm thành phố Đà Lạt 5km về hướng nam, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,,,
Khu Di tích núi Voi,"Thôn An Luận, Tiên Hội - xã An Tiến,Thôn Chi Lai - xã Trường Thành, Xã Trường Thành, Huyện An Lão, Thành phố Hải Phòng",,,,
Cung đường Tà Năng,", Xã Tà Năng, Huyện Đức Trọng, Lâm Đồng",,,,
Núi Lang Bian,"Nằm ở phía bắc thành phố Đà Lạt 12km, Thị trấn Lạc Dương, Huyện Lạc Dương, Lâm Đồng",,,,
Cù Lao Câu,"Cách thành phố Phan Thiết khoảng 110km về hướng Đông Bắc, Xã Vĩnh Hảo, Huyện Tuy Phong, Bình Thuận",,,,
Chùa Cao Linh,"Quốc lộ 10, Xã Bắc Sơn, Huyện An Dương, Thành phố Hải Phòng",,,,
Bãi biển Kỳ Co,", Xã Nhơn Lý, Thành phố Qui Nhơn, Bình Định",,,,
Cù lao Chàm,", Xã Tân Hiệp, Thành phố Hội An, Quảng Nam",,,,
Phá Tam Giang,", Huyện Phong Điền, Thừa Thiên Huế",,,,
Sông Hương,", Thành phố Huế, Thừa Thiên Huế",,,,
Động Thiên Đường,", Thị trấn Phong Nha, Huyện Bố Trạch, Quảng Bình",,,,
Hang Sơn Đoòng,", Thị trấn Phong Nha, Huyện Bố Trạch, Quảng Bình",,,,
Hang Én,", Huyện Bố Trạch, Quảng Bình",,,,
Biển Cổ Thạch,"Cách thành phố Phan Thiết 90 km, Xã Bình Thạnh, Huyện Tuy Phong, Bình Thuận",,,,
Đồi cát Nam Cương,"Cách thành phố Phan Rang gần 8km, Xã An Hải, Huyện Ninh Phước, Ninh Thuận",,,,
Hang Rái,"Hang Rái nằm ở phía nam vịnh Vĩnh Hy, Xã Vĩnh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Vịnh Vĩnh Hy,"Vịnh Vĩnh Hy nằm cách thành phố Phan Rang khoảng 42km, Xã Vĩnh Hải, Huyện Ninh Hải, Ninh Thuận",,,,
Vườn Quốc Gia Cát Bà,"Đường xuyên đảo Cát Bà, Xã Trân Châu, Huyện Cát Hải, Thành phố Hải Phòng",0225 0225 3688981,,vuonqgcatba@haiphong.gov.vn,http://vuonquocgiacatba.com.vn
Vịnh Lan Hạ,", Huyện Cát Hải, Thành phố Hải Phòng",,,,
Quán Hoa,"Đường Hoàng Văn Thụ nối dài, Phường Hoàng Văn Thụ, Quận Hồng Bàng, Thành phố Hải Phòng",,,,
Quần đảo Cát Bà,"được phân bố trên địa bàn 6 xã: Gia Luận, Việt Hải, Trân Châu, Xuân Đám, Phù Long, Hiền Hào và thị trấn Cát Bà, Huyện Cát Hải, Thành phố Hải Phòng",,,,
Làng Chài Việt Hải,", Xã Việt Hải, Huyện Cát Hải, Thành phố Hải Phòng",,,,
Đền Bà Đế,"chân núi Độc, Phường Hải Sơn, Quận Đồ Sơn, Thành phố Hải Phòng",,,,
Khu tưởng niệm Vương triều Mạc,"Thôn Đương Thắng, Xã Ngũ Đoan, Huyện Kiến Thuỵ, Thành phố Hải Phòng",,,,
Bãi biển Cửa Lò,", Thị xã Cửa Lò, Nghệ An",,,,
Khu bảo tồn thiên nhiên Pù Luông,", Huyện Bá Thước, Thanh Hóa",0237 3880 671,,kbttnpl.snnptnt@thanhhoa.gov.vn,www.puluong.org.vn
Khu du lịch sinh thái Tràng An,", Ninh Bình",,,,
Tam Cốc - Bích Động,"Thôn Ðam Khê, Xã Ninh Xuân, Huyện Hoa Lư, Ninh Bình",,,,
Bản Lác - Mai Châu,", Xã Chiềng Châu, Huyện Mai Châu, Hoà Bình",,,,
Đảo Điệp Sơn,"Nằm trong vùng biển vịnh Vân Phong, Thị trấn Vạn Giã, Huyện Vạn Ninh, Khánh Hòa",,,,
Đảo Bình Ba,"Đảo nằm trong vịnh Cam Ranh, Xã Cam Bình, Thành phố Cam Ranh, Khánh Hòa",,,,
Đảo Bình Hưng,"Đảo Bình Hưng còn gọi là Hòn Chút, Hòn Tý, Xã Cam Bình, Thành phố Cam Ranh, Khánh Hòa",,,,
Thác Yang Bay,"Cách thành phố biển Nha Trang chưa đến 45km, Xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",,,,
Biển Đại Lãnh,"Nằm cách thành phố Nha Trang 80km về phía Bắc, Xã Đại Lãnh, Huyện Vạn Ninh, Khánh Hòa",,,,
Hòn Yến,"Thôn Nhơn Hội, Huyện Tuy An, Phú Yên",,,,
Hòn Nưa,"Tọa lạc ở vùng giáp ranh giữa tỉnh Phú Yên và Khánh Hòa, nằm ngay dưới chân đèo Cả, Phú Yên",,,,
Chùa Tháp Tường Long,"đỉnh Long Sơn, Phường Ngọc Xuyên, Quận Đồ Sơn, Thành phố Hải Phòng",,,,
Cù Lao Xanh,"Vịnh Xuân Đài, Xã Nhơn Châu, Thành phố Qui Nhơn, Bình Định",,,,
Thác K50,"Ấp Bình Định, Xã Sơn Lang, Huyện KBang, Gia Lai",,,,
Ghềnh Đá Đĩa,"Ghềnh Đá Đĩa, Xã An Ninh Đông, Huyện Tuy An, Phú Yên",,,,
Bãi Xép,"Bãi biển Bãi Xép, Xã An Chấn, Huyện Tuy An, Phú Yên",,,,
Chùa Phổ Chiếu,"Xóm Miếu 2, Phường Dư Hàng, Quận Lê Chân, Thành phố Hải Phòng",,,,
Chùa Đỏ (Linh Độ Tự),"Lê Lai, Phường Máy Chai, Quận Ngô Quyền, Thành phố Hải Phòng",,,,
Bến nghiêng - Bến tàu không số,"Thung Lũng Xanh, Phường Vạn Hương, Quận Đồ Sơn, Thành phố Hải Phòng",,,,
Hồ Ba Bể,", Huyện Ba Bể, Bắc Kạn",,,,
Bãi biển Hoàng Hậu,", Phường Ghềnh Ráng, Thành phố Qui Nhơn, Bình Định",,,,
Đèo Mã Pì Lèng,", Huyện Đồng Văn, Hà Giang",,,,
Núi đôi Quản Bạ,", Huyện Quản Bạ, Hà Giang",,,,
Động Thác Bờ,"Xóm Bưng, Huyện Tân Lạc, Hoà Bình",,,,
Đền Đại Cại - núi Hắc Y,", Xã Tân Lĩnh, Huyện Lục Yên, Yên Bái",,,,
Vườn thú Hà Nội,", Quận Ba Đình, Thành phố Hà Nội",,,,
Điểm du lịch làng nghề sinh vật cảnh Hồng Vân,"Xã Hồng Vân, Thường Tín, Xã Hồng Vân, Huyện Thường Tín, Thành phố Hà Nội",024 3375 9581,,xhv_thuongtin@hanoi.gov.vn,
Điểm du lịch làng nghề may Vân Từ,"Xã Vân Từ, Xã Vân Từ, Huyện Phú Xuyên, Thành phố Hà Nội",,,,
Điểm du lịch làng nghề khảm trai - sơn mài Chuyên Mỹ,"Xã Chuyên Mỹ, Xã Chuyên Mỹ, Huyện Phú Xuyên, Thành phố Hà Nội",,,,
Điểm du lịch Di tích Lịch sử nhà tù Hỏa Lò,"Số 1 phố Hỏa Lò, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",024 3934 2253,024 3934 2317,bqldtnthl_sovhtt@hanoi.gov.vn,http://hoalo.vn/
Làng gốm Bát Tràng,", Xã Bát Tràng, Huyện Gia Lâm, Thành phố Hà Nội",,,,
Làng cổ Đường Lâm,", Xã Đường Lâm, Thị xã Sơn Tây, Thành phố Hà Nội",,,,
Điểm du lịch Bảo tàng Lịch sử quốc gia,"Số 1 Phạm Ngũ Lão và 25 Tôn Đản, Quận Hoàn Kiếm, Thành phố Hà Nội",024 3825 2853,,banbientap@baotanglichsu.vn,http://baotanglichsu.vn/vi
Bảo tàng Lịch sử Quân sự (Bảo tàng Quân Đội),"Số 28A đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội",,,,
Công viên Thiên đường Bảo Sơn,"Km5+200 đường Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",024 62 777 888,,info@baosonparadise.vn,https://baosonparadise.vn/
Khu du lịch sinh thái nước khoáng nóng Tiên Lãng,", Huyện Tiên Lãng, Thành phố Hải Phòng",0225 3583 264/ 0903 469 505,0225 3583 272,tl@tienlangsparesort.com/ suoikhoangtienlang@gmail.com,http://www.tienlangsparesort.com/
Khu di tích Trạng Trình Nguyễn Bỉnh Khiêm,"Thôn Trung Am, Xã Lý Học, Huyện Vĩnh Bảo, Thành phố Hải Phòng",,,,
Trung tâm Văn hóa Huyền Trân,"151 Thiên Thai, phường An Tây, Phường An Tây, Thành phố Huế, Thừa Thiên Huế",0234 3895 558,,,
Cầu Ngói Thanh Toàn,"Xã Thủy Thanh, thị xã Hương Thủy, Xã Thủy Thanh, Thị xã Hương Thủy, Thừa Thiên Huế",0234 3861 421,,,
Nhà vườn Lương Quán – Nguyệt Biều,"Phường Thủy Biều, thành phố Huế, Phường Thuỷ Biều, Thành phố Huế, Thừa Thiên Huế",0234 3822 835,,,
Làng Cổ Phước Tích,"Xã Phong Hòa, huyện Phong Điền, Xã Phong Hòa, Huyện Phong Điền, Thừa Thiên Huế",0234 3771 055,,,
Điểm du lịch sinh thái Đầm Chuồn,"xã Phú An, thị xã Hương Thủy, Phường Phú Bài, Thị xã Hương Thủy, Thừa Thiên Huế",0234 3850 244,,,
Làng nghề truyền thống Hoa giấy Thanh Tiên – Tranh dân gian Làng Sình,"xã Phú Mậu, Huyện Phú Vang, Xã Phú Mậu, Huyện Phú Vang, Thừa Thiên Huế",0234 3850 252,,,
Điểm du lịch sinh thái YesHue Eco,"xã Hương Phú, huyện Nam Đông, Xã Hương Phú, Huyện Nam Đông, Thừa Thiên Huế",0234 6562 888/ 0973195299,,,
Hồ Truồi,"Xã Lộc Hòa, huyện Phú Lộc, Xã Lộc Hòa, Huyện Phú Lộc, Thừa Thiên Huế",0234 0905678722,,,
Thác Nhị Hồ,"xã Lộc Trì, huyện Phú Lộc, Xã Lộc Trì, Huyện Phú Lộc, Thừa Thiên Huế",0234 0919310014,,,
Bảo tàng Lịch sử thành phố Hồ Chí Minh,"02 Nguyễn Bỉnh Khiêm, P. Bến Nghé, Quận 1, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",028 3829 8146,,,
Chợ Bến Thành,"Cửa Nam – Chợ Bến Thành, Phường Bến Thành, Quận 1, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",028 3829 9274,,,
Nhà trưng bày Hoàng Sa,"Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Phường Thọ Quang, Quận Sơn Trà, Thành phố Đà Nẵng",0236 3689 921,,,
Thắng cảnh Hương Sơn,", Xã Hương Sơn, Huyện Mỹ Đức, Thành phố Hà Nội",,,,
Thắng cảnh Tràng Kênh,", Huyện Thuỷ Nguyên, Thành phố Hải Phòng",,,,
Cảng cá - Chợ cá Thuận Phước,"Số 15 Thuận Phước, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Làng cổ Tuý Loan,", Xã Hòa Phong, Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Đền Nghè,", Phường An Biên, Quận Lê Chân, Thành phố Hải Phòng",,,,
Khu Bảo tồn sinh quyển thế giới Cát Bà,", Thị trấn Cát Bà, Huyện Cát Hải, Thành phố Hải Phòng",,,,
Thành phố Hải Phòng,", Thành phố Hải Phòng",,,,
Biệt thự Bảo Đại,", Phường Vạn Hương, Quận Đồ Sơn, Thành phố Hải Phòng",,,,
Nghĩa trang Khuê Trung,", Quận Hải Châu, Thành phố Đà Nẵng",,,,
Đình Nại Nam,", Phường Hòa Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Nhà thờ phái chư tộc Quá Giáng,"Thôn Quá Giáng, Xã Hòa Phước, Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Thành Điện Hải,", Phường Thạch Thang, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Mộ Ông Ích Khiêm,", Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Cung Thể thao Tiên Sơn,"Số 3 Phan Đăng Lưu, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Đình Bồ Bản,"Thôn Bồ Bản, Xã Hòa Phong, Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Đình Tuý Loan,"Thôn Túy Loan,, Xã Hòa Phong, Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Làng đá mỹ nghệ Non Nước,", Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",,,,
Bãi biển Nam Ô,", Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng",,,,
Bảo tàng điêu khắc Chămpa,"02, đường 2 tháng 9, Phường Bình Hiên, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Bà Nà - Núi Chúa,", Xã Hòa Ninh, Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Ngũ Hành Sơn,", Phường Hoà Hải, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",,,,
Đình Hàng Kênh,"Số 55 phố Nguyễn Công Trứ, Phường Hàng Kênh, Quận Lê Chân, Thành phố Hải Phòng",,,,
Bãi biển Ðồ Sơn,", Quận Đồ Sơn, Thành phố Hải Phòng",,,,
Chùa Tam Thai,", Huyện Hòa Vang, Thành phố Đà Nẵng",,,,
Đèo Hải Vân,", Thành phố Đà Nẵng",,,,
Khu bảo tồn thiên nhiên Sơn Trà,", Quận Sơn Trà, Thành phố Đà Nẵng",,,,
Lễ hội Cá Ông,", Thành phố Đà Nẵng",,,,
Bảo tàng Hồ Chí Minh,"Số 01 đường Duy Tân, Phường Hòa Thuận Đông, Quận Hải Châu, Thành phố Đà Nẵng",,,,
Bến Ninh Kiều,", Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Thiền viện Trúc Lâm Phương Nam,", Xã Mỹ Khánh, Huyện Phong Điền, Thành phố Cần Thơ",,,,
Chùa Nam Nhã,"Số 612 đường Cách Mạng Tháng Tám, Phường An Thới, Quận Bình Thuỷ, Thành phố Cần Thơ",,,,
Du lịch vườn Cần Thơ,", Thành phố Cần Thơ",,,,
Đình Bình Thủy,", Phường Bình Thủy, Quận Bình Thuỷ, Thành phố Cần Thơ",,,,
Chợ nổi Cái Răng,", Quận Cái Răng, Thành phố Cần Thơ",,,,
Nhà cổ Bình Thủy,"Đường Bùi Hữu Nghĩa, Phường Bình Thủy, Quận Bình Thuỷ, Thành phố Cần Thơ",,,,
Chùa Ông,"Số 32 Hai Bà Trưng, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Bảo tàng Phụ nữ Nam Bộ,"Số 202 Võ Thị Sáu, Phường 07, Quận 3, Thành phố Hồ Chí Minh",028 (028) 38 294441,,,
Bảo tàng Mỹ thuật Tp. Hồ Chí Minh,"Số 97A Phó Ðức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",028 3829 4441,,,
Bảo tàng chứng tích chiến tranh,"Số 28 Võ Văn Tần, Phường 06, Quận 3, Thành phố Hồ Chí Minh",028 (028) 2203 0682/ 3930 6664,,bt.ctct.svhtt@tphcm.gov.vn,http://www.baotangchungtichchientranh.vn
Đền Ngọc Sơn,", Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Lăng Đồng Khánh,", Phường Thuỷ Xuân, Thành phố Huế, Thừa Thiên Huế",,,,
Hội quán Quảng Đông,"17 đường Trần Phú, Thành phố Hội An, Quảng Nam",,,,
Bãi biển Sầm Sơn,", Thành phố Sầm Sơn, Thanh Hóa",,,,
Chùa Quán Sứ,"73 phố Quán Sứ, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội",,,,
Hồ Đa Nhim - Đèo Ngoạn Mục,", Huyện Đơn Dương, Lâm Đồng",,,,
Bãi biển Cửa Tùng,", Huyện Vĩnh Linh, Quảng Trị",,,,
Suối nước khoáng Mỹ An,", Xã Phú Dương, Huyện Phú Vang, Thừa Thiên Huế",,,,
Khu di tích lăng Mạc Cửu,", Phường Bình San, Thị xã Hà Tiên, Kiên Giang",,,,
Cầu Trường Tiền,", Phường Phú Hòa, Thành phố Huế, Thừa Thiên Huế",,,,
Vườn quốc gia Bạch Mã,", Huyện Phú Lộc, Thừa Thiên Huế",0234 3871 258,,bachmaeco@gmail.com,www.bachmapark.com.vn
Lăng Dục Ðức,", Phường An Cựu, Thành phố Huế, Thừa Thiên Huế",,,,
Lăng Gia Long (Thiên Thọ Lăng),", Xã Hương Thọ, Thị xã Hương Trà, Thừa Thiên Huế",,,,
Núi Ngự Bình,", Thành phố Huế, Thừa Thiên Huế",,,,
Trung tâm văn hóa Huyền Trân,"thôn Ngũ Tây, Phường An Tây, Thành phố Huế, Thừa Thiên Huế",,,,
Làng Dương Nỗ,", Xã Phú Dương, Huyện Phú Vang, Thừa Thiên Huế",,,,
Làng cổ Phước Tích,", Xã Phong Hòa, Huyện Phong Điền, Thừa Thiên Huế",,,,
Chùa Thiên Mụ,", Phường Hương Long, Thành phố Huế, Thừa Thiên Huế",,,,
Cửu vị thần công,", Thành phố Huế, Thừa Thiên Huế",,,,
Lăng Minh Mạng,", Xã Hương Thọ, Thị xã Hương Trà, Thừa Thiên Huế",,,,
